Algorithm,Restaurant,Scenario,TotalGroups,SeatedGroups,TotalCustomers,SeatedCustomers,PctSeated,TableUtil%,SeatUtil%,AvgWait,MaxWait,AvgQueueLen,MaxQueueLen,Throughput,FairnessIndex,VIPSeated%,NonVIPSeated%,SimEndTime,BySize_Seated,BySize_AvgWait,BySize_MaxWait,BySize_Fairness,ServiceLevel
Single Queue (Staff-Guided),Compact Cafe,Light Traffic,16,14,45,34,87.5000,49.6212,47.0170,1.7857,20.0000,1.5455,4,0.0959,0.1050,75.0000,91.6667,146,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 1.67min; Size 4: 6.67min; Size 5: N/A; Size 6: N/A,Size 1: 0.00min; Size 2: 0.00min; Size 3: 5.00min; Size 4: 20.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.00; Size 2: 0.00; Size 3: 0.33; Size 4: 0.33; Size 5: N/A; Size 6: N/A,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=146min: 100.0%
Single Queue (Staff-Guided),Compact Cafe,Peak Hours,24,19,72,46,79.1667,73.6111,67.8125,28.2632,103.0000,7.9167,15,0.1377,0.4394,83.3333,77.7778,138,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 80.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 13.50min; Size 2: 10.71min; Size 3: 50.00min; Size 4: 52.00min; Size 5: N/A; Size 6: N/A,Size 1: 22.00min; Size 2: 24.00min; Size 3: 99.00min; Size 4: 103.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.71; Size 2: 0.53; Size 3: 0.65; Size 4: 0.65; Size 5: N/A; Size 6: N/A,<=30min: 68.4%; <=60min: 78.9%; <=90min: 89.5%; <=120min: 100.0%; <=138min: 100.0%
Single Queue (Staff-Guided),Compact Cafe,Mixed VIP Flow,20,16,63,41,80.0000,67.6471,65.8088,16.8750,85.0000,5.0588,11,0.1212,0.3032,83.3333,78.5714,132,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 6.50min; Size 2: 0.43min; Size 3: 38.33min; Size 4: 34.75min; Size 5: N/A; Size 6: N/A,Size 1: 8.00min; Size 2: 2.00min; Size 3: 50.00min; Size 4: 85.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.95; Size 2: 0.26; Size 3: 0.92; Size 4: 0.48; Size 5: N/A; Size 6: N/A,<=30min: 75.0%; <=60min: 93.8%; <=90min: 100.0%; <=120min: 100.0%; <=132min: 100.0%
Single Queue (Staff-Guided),Compact Cafe,Distributed Arrivals with Mixed Sizes and VIPs,24,22,58,48,91.6667,79.0404,62.6894,36.1818,105.0000,7.2879,15,0.1528,0.6015,83.3333,94.4444,144,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 83.33%; Size 6: 0.00%,Size 1: 24.67min; Size 2: 34.80min; Size 3: 59.00min; Size 4: 44.60min; Size 6: N/A,Size 1: 57.00min; Size 2: 60.00min; Size 3: 105.00min; Size 4: 90.00min; Size 6: N/A,Size 1: 0.59; Size 2: 0.74; Size 3: 0.64; Size 4: 0.70; Size 6: N/A,<=30min: 45.5%; <=60min: 86.4%; <=90min: 95.5%; <=120min: 100.0%; <=144min: 100.0%
Single Queue (Staff-Guided),Compact Cafe,Many 1 Person Groups Preferring 4-Person Tables,24,21,55,42,87.5000,79.1667,48.1445,33.9048,96.0000,7.4844,15,0.1628,0.5975,83.3333,88.8889,129,Size 1: 100.00%; Size 2: 100.00%; Size 3: 50.00%; Size 4: 83.33%; Size 6: 0.00%,Size 1: 19.00min; Size 2: 41.50min; Size 3: 57.00min; Size 4: 56.00min; Size 6: N/A,Size 1: 55.00min; Size 2: 46.00min; Size 3: 57.00min; Size 4: 96.00min; Size 6: N/A,Size 1: 0.47; Size 2: 0.97; Size 3: 1.00; Size 4: 0.72; Size 6: N/A,<=30min: 52.4%; <=60min: 90.5%; <=90min: 95.2%; <=120min: 100.0%; <=129min: 100.0%
Single Queue (Staff-Guided),Small Bistro - Balanced Layout,Light Traffic,16,16,45,45,100.0000,63.1944,53.6932,1.5625,10.0000,0.5417,2,0.1176,0.1736,100.0000,100.0000,136,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 1.67min; Size 4: 3.33min; Size 5: 10.00min; Size 6: 0.00min,Size 1: 0.00min; Size 2: 0.00min; Size 3: 5.00min; Size 4: 10.00min; Size 5: 10.00min; Size 6: 0.00min,Size 1: 0.00; Size 2: 0.00; Size 3: 0.33; Size 4: 0.33; Size 5: 1.00; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=136min: 100.0%
Single Queue (Staff-Guided),Small Bistro - Balanced Layout,Peak Hours,24,23,72,66,95.8333,83.5821,70.8277,39.3913,98.0000,7.0000,15,0.1608,0.6197,83.3333,100.0000,143,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 50.00%,Size 1: 37.50min; Size 2: 26.29min; Size 3: 44.50min; Size 4: 50.00min; Size 5: 47.50min; Size 6: 49.00min,Size 1: 73.00min; Size 2: 60.00min; Size 3: 79.00min; Size 4: 98.00min; Size 5: 95.00min; Size 6: 49.00min,Size 1: 0.67; Size 2: 0.59; Size 3: 0.69; Size 4: 0.69; Size 5: 0.50; Size 6: 1.00,<=30min: 34.8%; <=60min: 73.9%; <=90min: 91.3%; <=120min: 100.0%; <=143min: 100.0%
Single Queue (Staff-Guided),Small Bistro - Balanced Layout,Mixed VIP Flow,20,18,63,52,90.0000,76.6667,62.5620,18.5556,88.0000,4.4000,10,0.1277,0.4172,83.3333,92.8571,141,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 50.00%; Size 6: 50.00%,Size 1: 14.50min; Size 2: 12.00min; Size 3: 10.33min; Size 4: 16.00min; Size 5: 88.00min; Size 6: 38.00min,Size 1: 23.00min; Size 2: 33.00min; Size 3: 27.00min; Size 4: 45.00min; Size 5: 88.00min; Size 6: 38.00min,Size 1: 0.74; Size 2: 0.51; Size 3: 0.43; Size 4: 0.43; Size 5: 1.00; Size 6: 1.00,<=30min: 77.8%; <=60min: 94.4%; <=90min: 100.0%; <=120min: 100.0%; <=141min: 100.0%
Single Queue (Staff-Guided),Small Bistro - Balanced Layout,Distributed Arrivals with Mixed Sizes and VIPs,24,24,58,58,100.0000,82.8502,52.7668,44.7917,108.0000,6.8406,15,0.1519,0.6377,100.0000,100.0000,158,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 33.11min; Size 2: 48.20min; Size 3: 43.67min; Size 4: 51.00min; Size 6: 99.00min,Size 1: 95.00min; Size 2: 77.00min; Size 3: 74.00min; Size 4: 108.00min; Size 6: 99.00min,Size 1: 0.53; Size 2: 0.74; Size 3: 0.66; Size 4: 0.69; Size 6: 1.00,<=30min: 33.3%; <=60min: 70.8%; <=90min: 87.5%; <=120min: 100.0%; <=150min: 100.0%; <=158min: 100.0%
Single Queue (Staff-Guided),Small Bistro - Balanced Layout,Many 1 Person Groups Preferring 4-Person Tables,24,24,55,55,100.0000,82.3671,42.0290,44.7917,119.0000,6.8551,15,0.1558,0.6360,100.0000,100.0000,154,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 24.09min; Size 2: 57.25min; Size 3: 70.00min; Size 4: 53.67min; Size 6: 119.00min,Size 1: 85.00min; Size 2: 72.00min; Size 3: 79.00min; Size 4: 95.00min; Size 6: 119.00min,Size 1: 0.44; Size 2: 0.94; Size 3: 0.98; Size 4: 0.75; Size 6: 1.00,<=30min: 33.3%; <=60min: 62.5%; <=90min: 91.7%; <=120min: 100.0%; <=150min: 100.0%; <=154min: 100.0%
